movie,year,imdb,votes
The Golem and the Dancing Girl,1917,6.5,22
The Little American,1917,6.5,574
Tom Sawyer,1917,6.3,123
The Black Stork,1917,4.8,13
"Womanhood, the Glory of the Nation",1917,8.2,5
Great Expectations,1917,6.2,12
'49-'17,1917,5.7,187
The Slave Market,1917,6,6
The New Mission of Judex,1917,7.6,17
The Hand That Rocks the Cradle,1917,7.1,11
Seven Keys to Baldpate,1917,6.4,66
A Romance of the Redwoods,1917,6.6,696
Lanka Dahan,1917,6.8,17
Polly of the Circus,1917,7.6,28
Mothers of Men,1917,5.7,64
Sangre y arena,1917,7.2,10
Satan Triumphant,1917,7.2,117
Masks and Faces,1917,6,10
Malombra,1917,6.5,67
Wild and Woolly,1917,6.9,510
The Dying Swan,1917,7.1,773
"Raffles, the Amateur Cracksman",1917,6.6,105
The Woman God Forgot,1917,6.6,43
The Torture of Silence,1917,6.5,87
The Gulf Between,1917,7,8
The Pride of the Clan,1917,6.6,68
Thomas Graals bästa film,1917,6.7,164
Girl from Stormy Croft,1917,6.9,130
Les Misérables,1917,5.9,15
The Cinderella Man,1917,7.1,28
The Merry Jail,1917,6.2,479
Runaway Romany,1917,8.7,33
A Marked Man,1917,4.5,26
Das Bildnis des Dorian Gray,1917,7.3,20
Lulu,1917,6.8,6
La comtesse de Somerive,1917,8.5,13
Satyavadi Raja Harishchandra,1917,8.2,9
A Modern Musketeer,1917,6.6,244
Jack and the Beanstalk,1917,4.2,12
Mothers of France,1917,6,20
Leoni Leo,1917,7.7,14
A Tale of Two Cities,1917,6.3,94
A Girl's Folly,1917,6.5,112
Patria,1917,6,18
Sirens of the Sea,1917,6.5,8
Reaching for the Moon,1917,6.5,63
A Mormon Maid,1917,6.3,64
The Cloth Peddler,1917,7.8,25
A Doll's House,1917,8.1,8
The Scarlet Car,1917,5.5,66
The Last Indian Attack,1917,6.7,70
The Adventurer,1917,7.4,7
The Clemenceau Affair,1917,3.6,17
Down to Earth,1917,6.6,27
The Scarlet Letter,1917,8.1,8
Young Mother Hubbard,1917,7,7
The Vicar of Wakefield,1917,6.3,20
The Gun Fighter,1917,6.3,6
Hilde Warren und der Tod,1917,5.9,77
The Secret of Delft,1917,6.8,35
Aladdin from Broadway,1917,7.2,9
Tillie Wakes Up,1917,6.5,457
On Dangerous Ground,1917,8.8,27
The Narrow Trail,1917,7.2,49
